aroonUp,aroonDn,oscillator
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
92.8571428571429,50.0,42.8571428571429
100.0,42.8571428571429,57.1428571428571
92.8571428571429,35.7142857142857,57.1428571428571
85.7142857142857,28.5714285714286,57.1428571428571
78.5714285714286,21.4285714285714,57.1428571428571
71.4285714285714,14.2857142857143,57.1428571428571
64.2857142857143,7.14285714285714,57.1428571428571
57.1428571428571,0.0,57.1428571428571
50.0,0.0,50.0
42.8571428571429,50.0,-7.14285714285715
35.7142857142857,42.8571428571429,-7.14285714285714
28.5714285714286,35.7142857142857,-7.14285714285714
21.4285714285714,28.5714285714286,-7.14285714285715
14.2857142857143,21.4285714285714,-7.14285714285714
7.14285714285714,14.2857142857143,-7.14285714285714
100.0,7.14285714285714,92.8571428571429
100.0,0.0,100.0
100.0,28.5714285714286,71.4285714285714
100.0,21.4285714285714,78.5714285714286
92.8571428571429,14.2857142857143,78.5714285714286
85.7142857142857,7.14285714285714,78.5714285714286
78.5714285714286,0.0,78.5714285714286
71.4285714285714,100.0,-28.5714285714286
64.2857142857143,92.8571428571429,-28.5714285714286
57.1428571428571,100.0,-42.8571428571429
50.0,100.0,-50.0
42.8571428571429,100.0,-57.1428571428571
35.7142857142857,100.0,-64.2857142857143
28.5714285714286,92.8571428571429,-64.2857142857143
21.4285714285714,100.0,-78.5714285714286
14.2857142857143,100.0,-85.7142857142857
7.14285714285714,100.0,-92.8571428571429
0.0,100.0,-100.0
0.0,92.8571428571429,-92.8571428571429
0.0,100.0,-100.0
0.0,92.8571428571429,-92.8571428571429
7.14285714285714,85.7142857142857,-78.5714285714286
0.0,78.5714285714286,-78.5714285714286
0.0,71.4285714285714,-71.4285714285714
7.14285714285714,64.2857142857143,-57.1428571428571
0.0,57.1428571428571,-57.1428571428571
7.14285714285714,50.0,-42.8571428571429
0.0,42.8571428571429,-42.8571428571429
0.0,35.7142857142857,-35.7142857142857
85.7142857142857,28.5714285714286,57.1428571428571
78.5714285714286,21.4285714285714,57.1428571428571
71.4285714285714,100.0,-28.5714285714286
64.2857142857143,92.8571428571429,-28.5714285714286
57.1428571428571,85.7142857142857,-28.5714285714286
50.0,100.0,-50.0
42.8571428571429,100.0,-57.1428571428571
35.7142857142857,100.0,-64.2857142857143
28.5714285714286,92.8571428571429,-64.2857142857143
21.4285714285714,85.7142857142857,-64.2857142857143
14.2857142857143,78.5714285714286,-64.2857142857143
7.14285714285714,71.4285714285714,-64.2857142857143
0.0,64.2857142857143,-64.2857142857143
0.0,57.1428571428571,-57.1428571428571
0.0,50.0,-50.0
0.0,42.8571428571429,-42.8571428571429
14.2857142857143,35.7142857142857,-21.4285714285714
7.14285714285714,28.5714285714286,-21.4285714285714
0.0,21.4285714285714,-21.4285714285714
28.5714285714286,14.2857142857143,14.2857142857143
100.0,7.14285714285714,92.8571428571429
100.0,0.0,100.0
100.0,0.0,100.0
100.0,0.0,100.0
100.0,42.8571428571429,57.1428571428571
100.0,35.7142857142857,64.2857142857143
92.8571428571429,28.5714285714286,64.2857142857143
85.7142857142857,21.4285714285714,64.2857142857143
78.5714285714286,14.2857142857143,64.2857142857143
