SMI,signal
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
32.5835892662783,
34.3902013260913,
36.7392353057746,
41.4050759361495,
46.509541737555,
51.4254807000858,
55.7051504447887,
58.2362193989319,
54.3696606805376,45.7071283106881
45.7809452951306,45.7218917075766
34.6756116529369,43.5126356966486
24.3418193715742,39.6784724316338
10.8903124675934,33.9208404388257
2.04642365837019,27.5459570827346
-8.07199425618469,20.4223668149507
-16.7019794178002,12.9974975684006
-21.6051960824133,6.07695883823777
-29.03210979477,-0.94485488836379
-34.0686037862274,-7.56960466793652
-40.5983537886195,-14.1753544920731
-46.5991045191952,-20.6601044974975
-49.8356135346618,-26.4952063049304
-53.5465727278587,-31.9054795895161
-54.396243529479,-36.4036323775087
-53.7248692385886,-39.8678797497247
-54.1563686573413,-42.725577531248
-53.4912841807926,-44.8787188611569
-52.3493935930154,-46.3728538075286
-50.6635044575554,-47.230983937534
-46.0991757731517,-47.0046223046575
-39.7633362029104,-45.5563650843081
-35.1719764288169,-43.4794873532099
-31.9732166078763,-41.1782332041432
-32.5801353061004,-39.4586136245346
-32.9278415191172,-38.1524592034511
-32.154926165353,-36.9529525958315
-30.1212485749614,-35.5866117916575
-33.4142293308542,-35.1521352994968
-40.3009018588195,-36.1818886113614
-43.5093677436636,-37.6473844378218
-47.0785093851111,-39.5336094272797
-40.0245208162006,-39.6317917050639
-34.9499411979378,-38.6954216036386
-29.4033467538159,-36.8370066336741
-23.4484457373437,-34.159294454408
-17.3519583678416,-30.7978272370947
-13.9210444637683,-27.4224706824294
-11.5051741901056,-24.2390113839647
-11.3130954823341,-21.6538282036386
-9.15990026119651,-19.1550426151501
-4.91486848288156,-16.3070077886964
1.75890905181821,-12.6938244205935
8.67931156266545,-8.41919722394171
14.7786272102701,-3.77963233709935
19.8774931720137,0.951792764723258
24.5626030583368,5.67395482344596
28.7758722282711,10.294338304411
33.4986255919188,14.9351957619125
37.5773343989654,19.4636234893231
40.527964338539,23.6764916591663
43.2844849680571,27.5980903209445
45.9730928030109,31.2730908173577
47.8638622245614,34.5912450987985
50.7780384766384,37.8286037743664
53.7705005638303,41.0169831322592
56.9107464024014,44.1957357862877
59.6499365396693,47.286575936964
62.5107169134828,50.3314041322678
64.824785720997,53.2300804500136
66.5595185945962,55.8959680789301
66.716883886613,58.0601512404667
66.5060136657074,59.7493237255149
65.2870007529083,60.8568591309935
65.8541491156818,61.8563171279312
66.3698681599447,62.7590273343339
66.1453908457999,63.4363000366271
65.4056672348571,63.8301734762731
65.2884010198457,64.1218189849876
65.861177617767,64.4696907115435
66.7973554187856,64.9352236529919
66.1501883483139,65.1782165920563
66.2988617928103,65.4023456322071
66.9394804302521,65.7097725918161
68.285019261322,66.2248219257173
68.8433638437507,66.748530309324
69.2158911618963,67.2420024798385
67.5715991374576,67.3079218113623
67.460405910193,67.3384186311284
66.2754421329485,67.1258233314925
64.5485561368119,66.6103698925563
61.5389510071741,65.5960861154799
59.9176162769007,64.4603921477641
60.382685491014,63.644850816414
61.1082722076745,63.1375350946661
62.7706401821027,63.0641561121535
64.4583927317073,63.3430034360642
66.4895547253085,63.9723136939131
