Date,Close,High,Low,Open,Volume
2025-03-04,185022.375,186414.26820257926,182934.53519613112,183729.90274046213,5424556
2025-03-05,191981.859375,193274.3317581564,185519.49745921802,187110.2327000259,4162368
2025-03-06,191285.90625,192876.6414371102,189198.0663169179,192379.53669113826,2540131
2025-03-07,191285.90625,191683.59004677756,186811.96353625262,189894.01296127858,2700590
2025-03-10,186811.96875,190391.12302088877,186215.4430381852,186414.2849421235,2441476
2025-03-11,186712.546875,187905.59829273162,180250.18502895365,181045.55264077475,3521800
2025-03-12,197748.265625,198195.65989111993,188601.53840654853,191285.904003268,4064278
2025-03-13,198543.640625,203315.84630852527,194367.96065191537,201327.4272737231,3883033
2025-03-14,203315.84375,204807.15800733495,197350.58672066013,197350.58672066013,3397462
2025-03-17,204807.15625,208286.8894872573,202321.63250910194,205801.36574635922,2584679
2025-03-18,201824.53125,207789.78833128078,199836.1122229064,207292.6835745074,2696191
2025-03-19,204310.0625,208286.90069951338,199836.11952554746,200830.3290754258,3102000
2025-03-20,208784.0,209778.20952380952,204310.05714285714,205801.3714285714,2779557
2025-03-21,214252.15625,218228.99441705336,210772.42285382832,212263.73716647332,5731880
2025-03-24,210275.3125,213257.94104609927,208286.89346926712,210275.3125,1611040
2025-03-25,206795.578125,214252.1494516226,206795.578125,213257.93994140625,2262656
2025-03-26,212760.84375,214252.15807535048,207292.69122371497,207789.79599883177,2058540
2025-03-27,205801.375,210772.422705314,205304.2702294686,206795.5845410628,2287220
2025-03-28,198145.953125,203315.84251912945,197748.26932545158,201824.5282708229,2673553
2025-03-31,189595.75,194367.9555584688,189396.90810173046,192379.53657577347,4561715
2025-04-01,195859.296875,197350.61131821066,190888.24873096446,192478.98413705584,2317253
2025-04-02,196754.078125,200333.23265380244,196157.5523701996,197648.86675720062,2764223
2025-04-03,193473.15625,193473.15625,187110.2158594553,188502.10906988694,4177747
2025-04-04,181144.96875,188502.1189626784,177366.97269484084,186811.96283273876,9182017
2025-04-07,163845.734375,171799.41080097086,163845.734375,167027.20494538834,7879050
2025-04-08,168518.53125,172097.6858960177,167226.05873893804,171004.0553097345,4965171
2025-04-09,164044.578125,169015.6259469697,161757.89612689393,169015.6259469697,8035679
2025-04-10,182139.1875,188800.39140966156,178957.71697598253,188601.5495019105,7836984
2025-04-11,179753.078125,180747.28762790377,175080.29346135232,176770.4496162887,3223735
2025-04-14,179156.5625,183332.24264705883,176969.30147058825,181840.92830882352,3466194
2025-04-15,179554.25,181343.82724252492,178659.46137873756,179156.56616832782,1915455
2025-04-16,172992.453125,176472.18637751436,172495.3483746408,175477.97687679596,2933428
2025-04-17,173986.671875,174384.35569642857,170805.20130357143,171103.46416964286,2989493
2025-04-18,173986.671875,174483.7766517857,171799.41085714285,172992.46232142858,1305152
2025-04-21,175577.390625,178957.7027887882,173489.5507591308,173787.8135971121,1877473
2025-04-22,172793.609375,174483.76550812717,172296.5046299626,173986.66076308975,2008388
2025-04-23,179951.9375,180548.46325966853,177068.7296616022,178062.93926104973,3857373
2025-04-24,177267.546875,182338.01512549075,176571.60025238362,181741.4894489624,3162156
2025-04-25,183332.21875,183829.32346461498,181045.53706277115,181443.22083446314,3507810
2025-04-28,180946.125,182835.12300824176,178659.44320054946,182437.43921703295,2455710
2025-04-29,179753.078125,181840.91808109792,178062.92197006362,180946.1295284845,1866386
2025-04-30,176472.171875,178957.6954225352,175676.80433978874,178062.90694542255,2354473
2025-05-02,184922.96875,185121.81065188174,177366.97647849465,178361.18598790324,3886874
2025-05-07,189695.171875,190391.11852234014,184823.54534361896,186613.12243677935,3830097
2025-05-08,189198.078125,194865.07258276406,188303.2895264057,194865.07258276406,5125330
2025-05-09,188999.234375,191683.6001446607,185718.34287874802,190888.2325092057,2539822
2025-05-12,193870.84375,194069.68564102563,192379.5295673077,192478.9505128205,1624884
2025-05-13,197350.578125,200333.2065097607,196157.5267710957,199338.9970481738,3385009
2025-05-14,204807.15625,205801.36574635922,202818.73725728155,205801.36574635922,3333511
2025-05-15,199339.015625,206795.5872817955,198344.8060707606,206298.4825046758,3178957
2025-05-16,203315.84375,205552.81513600243,202321.63424511,204807.15800733495,2419507
2025-05-19,198245.390625,201824.5451197342,196356.39241944582,201824.5451197342,2482673
2025-05-20,200830.34375,206795.6014851485,200333.2389387376,201327.44856126237,2820546
2025-05-21,199339.015625,203812.9586190773,198742.48989245636,203315.8538419576,1721760
2025-05-22,195759.859375,200333.22328117065,195362.17555707213,198742.48800945914,1988587
2025-05-23,198841.90625,200333.220546875,197549.433859375,198742.485296875,1538701
2025-05-26,201824.53125,202321.6360067734,195759.85321736452,198841.9027093596,1459997
2025-05-27,201327.4375,202321.64706790124,198841.9135802469,199339.01836419755,1424916
2025-05-28,206795.578125,208286.89239032453,204807.1591045673,205304.2638596755,3161188
2025-05-29,211153.109375,213643.12245725238,206671.08582694575,213643.12245725238,3827689
2025-05-30,203683.0625,209161.09107579463,202189.05470660146,209161.09107579463,4826628
2025-06-02,206671.0625,207667.06762048192,202189.03945783133,204181.04969879516,1775752
2025-06-04,216631.140625,222109.16946839078,215635.13538074712,217129.14324712643,5108674
2025-06-05,223603.15625,229081.18457683743,221113.14337416482,224599.1614003341,5768506
2025-06-09,228085.1875,232567.21083515283,227089.1823144105,232069.2082423581,3666084
2025-06-10,229579.1875,231571.19780368762,226591.17204446855,230077.1900759219,3718655
2025-06-11,239041.234375,240037.23951822918,234061.20865885416,235057.21380208334,4230421
2025-06-12,234559.21875,245515.2756767516,234061.2161624204,241531.25497611467,4994238
2025-06-13,234559.21875,242029.25756369426,232816.20969347135,239539.2446257962,4100610
2025-06-16,247009.28125,247507.28383316533,237049.22958669355,237049.22958669355,3760740
2025-06-17,248005.28125,258961.33785140564,247009.2761044177,251989.3018323293,5044669
2025-06-18,245515.28125,250993.30983772821,244021.27345334686,244519.27605223126,4081001
2025-06-19,245017.265625,249001.28620426828,241033.2450457317,246013.27076981706,2317796
2025-06-20,255973.328125,255973.328125,246511.27903088523,248005.28678258756,3597877
2025-06-23,258463.34375,261949.36187379577,247507.28678949905,251491.30750240848,3398736
2025-06-24,277387.4375,281869.4607271095,268423.39104578097,268921.39362657093,5436312
2025-06-25,284857.46875,290335.4969951923,282865.458479021,287845.48415646853,5466598
2025-06-26,291829.53125,297307.5599936007,285853.4998933447,293323.5390891638,5894020
2025-06-27,282865.4375,293323.4906470071,279877.42231514084,286849.4577464789,5134863
2025-06-30,290833.53125,293323.5443600171,284857.4997859589,287347.512895976,4375298
2025-07-01,284359.46875,293323.5150503503,284359.46875,289837.4970446585,3687981
2025-07-02,277885.4375,282367.4606854839,273403.4143145161,282367.4606854839,4702056
2025-07-03,277387.4375,282865.4658886894,275893.42975763016,279877.4504039497,3642140
2025-07-04,269419.375,280375.43091497227,267925.36737523106,278383.42074861366,3654933
2025-07-07,269917.40625,270913.4114391144,263443.37252075644,264937.38030442805,2523564
