"Date","SMA","EMA","WMA","SAR","BBANDS_0","BBANDS_1","BBANDS_2","RSI","MACD_0","MACD_1","MOM","ROC","ROCP","ROCR","ROCR100","CCI","MFI","WILLR","AROON_0","AROON_1","AROONOSC","ATR","TRANGE","STDDEV","OBV","AD","TYPPRICE","WCLPRICE","MEDPRICE","AVGPRICE","ADD","SUB","MULT","DIV","SQRT","LN","LOG10","SIN","COS","TAN","ZLEMA","HMA","ALMA","EVWMA","Keltner_up","Keltner_mid","Keltner_dn","CMF","DPO","CMO","EMV_emv","EMV_ma","SMI_smi","SMI_signal","CLV","CHV","VHF","SNR","Donchian_high","Donchian_mid","Donchian_low","ZigZag","GMMA_0","GMMA_1","GMMA_2","GMMA_3","GMMA_4","GMMA_5","GMMA_6","GMMA_7","GMMA_8","GMMA_9","GMMA_10","GMMA_11","KST_kst","KST_signal","ADX","PLUS_DI","MINUS_DI","Tenkan","Kijun","SenkouA","SenkouB","TDI_price","TDI_signal","TDI_mbl","TDI_ub","TDI_lb"
2025-03-04,NA,NA,NA,168115.078046911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5424556,1084911.19999993,184790.39279957,184848.388349678,184674.401699355,184525.270284793,369348.80339871,3479.73300644816,34101607507.5658,1.01902173913043,430.142272974884,12.128232042693,5.26722425138379,0.98823635527035,0.152934319634194,6.46183510433843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199999999999987,NA,NA,NA,NA,NA,NA,184674.401699355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-05,NA,NA,NA,168481.061850024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8251.95675815639,NA,9586924,3859823.19999994,190258.562864125,190689.386991844,189396.914608687,189471.4803231,378793.829217374,7754.8342989384,35856156899.5394,1.04180064308682,438.157345453662,12.1651561641243,5.28326019357051,-0.762834680798643,0.64659357387066,-1.17977460900537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87984.3038541208,NA,NA,NA,0.666666666666669,NA,NA,NA,NA,NA,NA,187255.524216101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-06,NA,NA,NA,169472.79264635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3678.57512019231,NA,7046793,4203084.14594587,191120.204668009,191161.630063507,191037.353877014,191435.037673792,382074.707754028,3678.57512019231,36491887597.6028,1.0194429847609,437.362442660547,12.1615244791649,5.28168297283264,0.575126051486754,0.818064804829822,0.703032385810064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23756.5664080067,NA,NA,NA,0.135135135135129,NA,NA,NA,NA,NA,NA,189836.646732847,189430.046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-07,NA,NA,NA,170424.854210822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4871.62651052495,NA,7046793,6462761.49288459,189927.153277677,190266.841520758,189247.776791515,189918.868198577,378495.55358303,4871.62651052495,35808787834.3166,1.02607770090474,437.362442660547,12.1615244791649,5.28168297283264,0.575126051486754,0.818064804829822,0.703032385810064,NA,NA,NA,NA,NA,NA,NA,NA,-2465.640625,NA,-32282.394485444,NA,NA,NA,0.836734693877532,NA,NA,NA,NA,NA,NA,192417.769249593,190357.9765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-10,NA,NA,NA,171338.833312715,194903.676996993,189277.603125,183651.529253007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5070.46321181479,3145.07090605308,4605317,4718850.06431315,187806.178269691,187557.625889769,188303.283029537,187458.204937799,376606.566059074,4175.67998270359,35453767323.8724,1.02242391884677,432.217501670166,12.1378578752618,5.27140469735213,0.298572841417532,0.95438684943154,0.31284257698581,NA,NA,NA,NA,NA,NA,NA,NA,-8619.79375000001,NA,-16153.7680308158,NA,NA,NA,-0.71428571428572,NA,NA,NA,NA,NA,NA,194998.891766339,188584.97265625,189277.603125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-11,NA,NA,NA,172216.253250533,194303.246271463,189615.6375,184928.028728537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7655.41326377794,2620.45296622889,1083517,7142946.16820928,184956.110065562,185395.219267921,184077.891660843,183978.470709365,368155.783321685,7655.41326377794,33870018860.2411,1.04247104247104,432.102472655503,12.1373255306729,5.27117350303472,0.987463654352744,0.157846543618558,6.25584591031013,NA,NA,NA,NA,NA,NA,NA,NA,-9952.03593750001,NA,-91848.2512594574,NA,NA,NA,0.688311688311697,NA,NA,NA,NA,NA,NA,197580.014283085,187648.759765625,188422.584375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-12,NA,NA,NA,173058.576390838,198836.505305727,190768.91875,182701.332194273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11483.11301612,4509.91798824202,5147795,10828172.3340124,194848.487974223,195573.432386917,193398.599148834,193957.841981484,386797.198297668,9594.12148457143,37380006360.9663,1.05086979441223,444.688953792423,12.1947501150478,5.29611268315432,-0.656405972940188,-0.75440784638579,0.870094307853361,NA,NA,NA,NA,NA,NA,NA,NA,-666.126562499994,NA,220024.319108944,NA,NA,NA,0.906735751295328,NA,NA,NA,NA,NA,NA,200161.136799831,192698.512695312,191531.144791667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-13,NA,NA,NA,174566.801400855,202457.712268488,192220.465625,181983.218981512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8947.88565660993,5722.79484931776,9030828,10569303.4673457,198742.48252848,198692.77205261,198841.90348022,199388.718714791,397683.806960441,8947.88565660993,39518086415.2063,1.0460358056266,445.582361213951,12.1987642069606,5.29785598112188,0.954537221438427,0.298091752466597,3.20215911221961,NA,NA,NA,NA,NA,NA,NA,NA,-2167.37656249999,NA,125433.043580552,NA,NA,NA,-0.0666666666666619,NA,NA,NA,NA,NA,NA,202742.259316577,195621.076660156,193868.643402778,191174.05859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-14,NA,NA,NA,176866.724993469,208021.72568841,194626.453125,181231.18056159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7456.57128667479,7488.1850072307,12428290,12607780.6673457,201824.529492665,202197.358056999,201078.872363998,200706.043799664,402157.744727995,7456.57128667479,40418812797.3385,1.03778337531486,450.905581857222,12.2225159294377,5.30817122312938,-0.984056272989834,-0.177857391157514,5.53283879059227,NA,NA,194548.556608484,NA,NA,NA,NA,NA,258.4921875,NA,49095.8190200747,NA,NA,NA,0.600000000000011,NA,NA,NA,NA,NA,NA,205323.381833323,199468.460205078,197017.710185185,193872.233072917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192528.671518144,NA,NA,NA,NA,NA,NA,NA,NA
2025-03-17,NA,NA,NA,179660.768294855,210941.051304743,198225.490625,185509.929945257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5965.25697815532,7108.21451298237,15012969,12177000.8340124,205138.559415453,205055.70862409,205304.26099818,205304.26099818,410608.521996359,5965.25697815532,42140943511.3048,1.02948402948403,452.556246504233,12.229824114164,5.31134512742873,0.433143197821557,0.901325119022495,0.480562661219638,NA,NA,198284.775049077,NA,NA,NA,NA,NA,-258.498437500006,NA,97518.9918572982,51503.181117031,NA,NA,-0.166666666666672,NA,NA,NA,208286.889487257,194268.537258105,180250.185028954,207904.504350069,202137.808227539,199614.19220679,196302.216001157,193751.546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194268.537258105,NA,NA,NA,NA,NA,NA,NA,NA
